Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105718186,Utah,21.0,1.0,154,4.9,Zion National Park,Trad
105741011,Idaho,14.5,0.0,164,3.8,City of Rocks,Trad
105741116,Utah,24.0,0.0,101,4.1,Maple Canyon,Sport
105959353,New Hampshire,22.0,0.0,106,3.9,Rumney,Sport
105804868,New York,13.0,0.0,75,3.6,The Gunks,Trad
105799490,New York,11.5,0.0,89,3.7,The Gunks,Trad
105718813,Utah,23.0,0.0,54,4.2,Moab Area,Trad
105947723,New Hampshire,19.0,0.0,147,3.4,Rumney,Sport
106097044,California,16.0,0.0,96,3.9,Yosemite National Park,Trad
105754933,Colorado,17.5,0.0,68,3.7,Boulder,Trad
105717652,Utah,20.0,0.0,79,3.2,Moab Area,Trad
105920684,Nevada,20.0,-1.0,107,4.8,Red Rock,Trad
105749929,Colorado,17.5,-0.5,93,3.5,Canon City,Sport
105722119,California,17.5,0.0,60,3.2,Joshua Tree National Park,Trad
105756532,Colorado,16.5,0.5,116,2.9,Boulder,Sport
105847535,Wyoming,22.75,0.0,105,4.4,Ten Sleep Canyon,Sport
105732242,Nevada,16.0,0.0,270,4.1,Red Rock,Trad
105876648,New Hampshire,26.0,0.0,74,3.5,Rumney,Sport
105717451,Utah,16.0,0.0,91,3.5,Moab Area,Trad
105717391,Utah,23.0,0.0,191,4.9,Moab Area,Trad
105840361,California,16.0,0.0,193,4.3,Yosemite National Park,Trad
105717613,Utah,21.0,1.0,80,4.4,Moab Area,Trad
105732323,Nevada,18.0,0.0,124,3.1,Red Rock,Sport
105846613,Wyoming,21.0,0.0,99,4.4,Ten Sleep Canyon,Sport
105725401,California,17.5,-0.5,90,4.1,Joshua Tree National Park,Trad
105732557,Nevada,17.0,0.0,144,2.6,Red Rock,Sport
105748618,Colorado,14.5,0.0,93,3.7,Boulder,Sport
105804852,Wyoming,16.0,0.0,92,4.8,Grand Teton National Park,Trad
105753670,Colorado,16.0,0.0,94,2.6,Boulder,Trad
106148885,New Hampshire,16.0,0.0,79,3.3,Rumney,Sport
106141398,California,21.0,0.0,67,4.8,Yosemite National Park,Trad
105996018,Colorado,22.0,0.0,61,2.5,Boulder,Sport
105763212,Colorado,24.0,0.0,62,4.6,Canon City,Sport
105764040,Colorado,16.0,0.0,135,2.8,Boulder,Sport
105962294,New Hampshire,20.0,0.0,59,3.5,Rumney,Sport
105749296,Colorado,16.5,0.0,152,3.9,Boulder,Trad
105812947,New York,14.5,0.0,190,3.9,The Gunks,Trad
105829266,New York,17.5,0.0,66,3.9,The Gunks,Trad
105725131,California,22.5,0.0,76,4.0,Joshua Tree National Park,Trad
105740204,Utah,19.0,0.0,82,4.0,Wasatch Range,Trad
105819734,Nevada,16.5,0.0,137,3.0,Red Rock,Sport
105717319,Utah,23.0,0.0,139,4.8,Moab Area,Trad
105944650,Nevada,19.5,0.5,111,2.9,Red Rock,Sport
105963695,New Hampshire,22.0,0.0,78,3.6,Rumney,Sport
105939455,Utah,22.75,-0.25,98,4.4,Moab Area,Trad
105717676,Utah,22.0,0.0,101,4.4,Moab Area,Trad
105753604,Colorado,22.5,0.0,123,3.6,Boulder,Sport
