Climb,User,rating
273,11228,4
524,11228,5
523,11228,5
271,11228,3
774,11228,5
354,11228,4
837,11228,5
772,11228,4
137,11228,3
77,11228,4
880,11228,3
54,11228,4
670,11228,4
609,11228,2
173,11228,4
384,11228,3
521,11228,5
487,11228,4
267,11228,3
632,11228,3
305,11228,3
712,11228,3
208,11228,3
358,11228,3
261,11228,4
921,11228,2
933,11228,3
229,11228,4
169,11228,5
884,11228,4
482,11228,3
563,11228,4
274,11228,4
232,11228,4
483,11228,3
436,11228,5
187,11228,4
325,11228,5
314,11228,4
233,11228,4
320,11228,4
182,11228,3
131,11228,4
346,11228,4
421,11228,5
530,11228,3
103,11228,4
296,11228,5
580,11228,4
283,11228,5
857,11228,5
725,11228,3
720,108202763,4
2,108202763,4
461,108202763,4
323,108202763,3
311,108202763,4
334,108202763,5
263,108202763,4
765,108202763,4
589,108202763,4
37,108202763,4
29,108202763,3
616,108202763,3
612,108202763,3
604,108202763,2
512,108202763,4
433,108202763,3
808,108202763,3
910,108202763,4
97,108202763,4
441,108202763,4
65,108202763,3
872,108202763,4
634,108202763,4
410,108202763,4
572,108202763,2
899,108202763,3
856,108202763,4
739,108202763,5
692,108202763,5
815,108202763,5
111,108202763,5
147,108202763,4
568,108202763,5
759,108202763,4
668,108202763,4
934,108202763,5
317,108202763,2
87,108202763,5
846,108202763,4
651,108202763,5
356,108202763,3
738,108202763,3
796,108202763,4
909,108202763,4
611,108202763,4
270,108202763,5
424,108202763,3
559,108202763,5
732,108202763,5
777,108202763,4
225,105821238,4
47,105821238,4
240,105821238,5
723,105821238,3
223,105821238,5
901,105821238,2
896,105821238,2
717,105821238,2
887,105821238,3
391,105821238,3
782,105821238,2
722,105821238,3
803,105821238,2
548,105821238,3
179,105821238,2
464,105821238,3
166,105821238,4
844,105821238,3
745,105821238,3
55,105821238,4
193,105821238,3
51,105821238,3
812,105821238,4
907,105821238,3
867,105821238,3
806,105821238,3
671,105821238,2
849,105821238,4
22,105821238,2
216,105821238,4
641,105821238,3
733,105821238,4
874,105821238,2
6,105821238,3
100,105821238,3
533,105821238,4
403,105821238,4
477,105821238,4
779,11802,4
506,11802,3
257,11802,5
768,11802,4
116,11802,4
713,11802,3
227,11802,3
1,11802,4
449,11802,3
80,11802,3
359,11802,4
787,11802,5
831,11802,5
459,11802,3
489,11802,5
0,11802,3
33,11802,2
90,11802,3
544,11802,3
935,11802,4
280,11802,4
527,11802,4
706,11802,3
750,11802,3
236,11802,4
863,11802,3
887,11802,4
391,11802,4
722,11802,2
803,11802,3
635,11802,3
298,11802,2
247,11802,2
69,11802,3
844,11802,3
476,11802,4
646,11802,4
913,11802,2
539,11802,2
536,11802,2
633,11802,3
115,11802,4
925,11802,4
719,11802,3
195,11802,3
349,11802,2
842,11802,3
812,11802,4
907,11802,4
867,11802,3
431,11802,4
806,11802,3
637,11802,4
46,11802,2
118,11802,2
650,11802,3
312,11802,3
272,11802,3
122,11802,3
249,11802,4
859,11802,2
550,11802,3
455,11802,4
868,11802,4
385,11802,3
671,11802,3
639,11802,3
342,11802,4
310,11802,4
885,11802,4
924,11802,5
792,11802,3
348,11802,4
23,11802,4
246,11802,5
644,11802,5
727,106031999,5
720,106031999,4
461,106031999,4
551,106031999,2
259,106031999,2
181,106031999,4
582,106031999,3
492,106031999,4
631,106031999,4
569,106031999,4
474,106031999,4
59,106031999,3
42,106031999,4
743,106031999,5
808,106031999,4
97,106031999,4
65,106031999,3
789,106031999,5
634,106031999,4
886,106031999,4
141,106031999,5
462,106031999,5
352,106031999,4
395,106031999,5
327,106031999,5
851,106031999,5
404,106031999,5
839,106031999,4
119,106031999,4
700,106031999,4
343,106031999,5
654,106031999,5
780,106031999,3
109,106031999,3
302,106031999,4
763,106031999,4
13,106031999,3
623,106031999,3
423,106031999,4
467,106031999,3
498,106031999,4
725,106031999,5
683,106031999,4
282,106031999,4
469,106031999,5
678,106031999,3
7,106031999,5
203,106031999,3
351,106031999,4
24,106031999,3
31,106031999,3
171,106031999,4
513,106031999,5
764,106031999,5
60,106031999,4
878,106031999,4
151,106031999,5
690,106031999,4
376,106031999,5
0,106031999,4
518,106031999,5
309,106031999,5
834,106031999,4
140,106031999,5
8,106031999,4
