Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105741011,Idaho,14.5,0.0,164,3.8,City of Rocks,Trad
105741116,Utah,24.0,0.0,101,4.1,Maple Canyon,Sport
105959353,New Hampshire,22.0,0.0,106,3.9,Rumney,Sport
105804868,New York,13.0,0.0,75,3.6,The Gunks,Trad
105799490,New York,11.5,0.0,89,3.7,The Gunks,Trad
106264216,Utah,22.5,0.0,51,3.1,Maple Canyon,Sport
105947723,New Hampshire,19.0,0.0,147,3.4,Rumney,Sport
106097044,California,16.0,0.0,96,3.9,Yosemite National Park,Trad
105754933,Colorado,17.5,0.0,68,3.7,Boulder,Trad
105717652,Utah,20.0,0.0,79,3.2,Moab Area,Trad
105722119,California,17.5,0.0,60,3.2,Joshua Tree National Park,Trad
105756532,Colorado,16.5,0.5,116,2.9,Boulder,Sport
105723016,California,14.5,-1.0,69,3.0,Joshua Tree National Park,Trad
105827570,Colorado,24.5,0.0,60,4.3,Canon City,Sport
105847535,Wyoming,22.75,0.0,105,4.4,Ten Sleep Canyon,Sport
105827734,Wyoming,18.0,-1.0,50,3.4,Lander Area,Sport
105732242,Nevada,16.0,0.0,270,4.1,Red Rock,Trad
105943086,Utah,23.5,0.5,45,3.2,Moab Area,Trad
106148899,New Hampshire,16.0,0.0,87,3.0,Rumney,Sport
105840361,California,16.0,0.0,193,4.3,Yosemite National Park,Trad
105717613,Utah,21.0,1.0,80,4.4,Moab Area,Trad
105870248,Kentucky,21.0,-1.0,97,3.6,Red River Gorge,Sport
105846613,Wyoming,21.0,0.0,99,4.4,Ten Sleep Canyon,Sport
105725401,California,17.5,-0.5,90,4.1,Joshua Tree National Park,Trad
105760131,Colorado,22.5,0.0,47,3.4,Rifle,Sport
106061901,Kentucky,22.0,0.0,119,4.2,Red River Gorge,Sport
105732557,Nevada,17.0,0.0,144,2.6,Red Rock,Sport
105748618,Colorado,14.5,0.0,93,3.7,Boulder,Sport
105753670,Colorado,16.0,0.0,94,2.6,Boulder,Trad
106148885,New Hampshire,16.0,0.0,79,3.3,Rumney,Sport
105725368,California,16.0,0.0,77,3.0,Joshua Tree National Park,Trad
105975347,Colorado,22.5,0.0,35,3.1,Boulder,Sport
105764040,Colorado,16.0,0.0,135,2.8,Boulder,Sport
105860693,Kentucky,16.0,0.0,130,3.3,Red River Gorge,Sport
105740513,Utah,13.0,0.0,67,3.0,Wasatch Range,Trad
105749296,Colorado,16.5,0.0,152,3.9,Boulder,Trad
105812947,New York,14.5,0.0,190,3.9,The Gunks,Trad
105829266,New York,17.5,0.0,66,3.9,The Gunks,Trad
105725131,California,22.5,0.0,76,4.0,Joshua Tree National Park,Trad
105740204,Utah,19.0,0.0,82,4.0,Wasatch Range,Trad
105819734,Nevada,16.5,0.0,137,3.0,Red Rock,Sport
105821477,New York,17.5,0.0,45,3.6,The Gunks,Trad
106125082,Kentucky,21.0,0.0,106,3.6,Red River Gorge,Sport
105944650,Nevada,19.5,0.5,111,2.9,Red Rock,Sport
105963695,New Hampshire,22.0,0.0,78,3.6,Rumney,Sport
106058997,New Hampshire,14.5,0.0,79,2.7,Rumney,Sport
105939455,Utah,22.75,-0.25,98,4.4,Moab Area,Trad
105717676,Utah,22.0,0.0,101,4.4,Moab Area,Trad
105752458,Colorado,23.5,-1.5,41,4.1,Canon City,Sport
105753604,Colorado,22.5,0.0,123,3.6,Boulder,Sport
105934930,Nevada,17.0,-0.5,56,4.3,Red Rock,Trad
105758419,Colorado,26.0,0.0,43,4.4,Boulder,Trad
105723478,California,17.5,0.0,104,4.3,Joshua Tree National Park,Trad
105740441,Utah,14.5,0.0,115,3.9,Wasatch Range,Trad
105750514,Colorado,17.5,0.0,110,3.6,Boulder,Trad
105878341,New Hampshire,16.0,0.0,104,2.9,Rumney,Sport
105815363,New York,16.0,0.0,111,4.3,The Gunks,Trad
105938062,New York,11.5,0.0,65,3.4,The Gunks,Trad
