Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105834134,Utah,22.75,0.0,6,3.5,Wasatch Range,Trad
106181256,Colorado,19.5,1.5,12,3.1,Boulder,Trad
105920111,International,17.5,0.0,13,2.9,North America,Sport
106208618,California,13.0,0.0,24,3.1,Yosemite National Park,Trad
105718117,Utah,28.0,0.5,45,4.9,Zion National Park,Sport
105868666,Colorado,20.0,0.5,16,2.9,Boulder,Trad
106449034,California,21.0,0.0,7,4.1,San Francisco Bay Area,Sport
105947723,New Hampshire,19.0,0.0,147,3.4,Rumney,Sport
105732860,Nevada,15.5,2.5,11,2.7,Red Rock,Trad
108873104,South Dakota,25.0,0.5,5,5.0,Spearfish Canyon,Sport
105718669,Utah,23.0,0.0,40,4.5,Moab Area,Trad
105923032,Nevada,22.5,0.0,61,3.5,Red Rock,Sport
106065226,Utah,23.5,0.0,12,4.0,Moab Area,Trad
106542798,Idaho,19.5,0.0,5,3.4,Castle Rocks,Sport
105763185,Colorado,28.0,0.0,27,4.9,Rifle,Sport
107306550,Utah,21.0,0.0,8,3.2,Wasatch Range,Sport
105714785,South Dakota,23.0,0.25,7,2.3,Mount Rushmore National Memorial,Sport
105760944,Colorado,23.0,0.5,14,3.6,Boulder,Trad
106036854,New Hampshire,19.0,0.0,15,3.0,Rumney,Sport
107847284,Oregon,21.0,0.0,9,4.1,Central Oregon,Trad
105748753,Colorado,13.0,0.0,16,3.1,Boulder,Trad
105751672,Colorado,30.0,1.0,36,4.6,Boulder,Sport
106836137,Washington,24.0,0.0,10,4.2,Northeast Corner & Spokane,Sport
105761934,Colorado,25.0,0.5,26,4.2,Canon City,Sport
105835308,Wyoming,19.5,0.5,19,3.7,Jackson Hole,Sport
105836358,Utah,19.0,0.0,24,2.6,Maple Canyon,Sport
105846613,Wyoming,21.0,0.0,99,4.4,Ten Sleep Canyon,Sport
105725401,California,17.5,-0.5,90,4.1,Joshua Tree National Park,Trad
106772331,New Hampshire,17.5,-0.5,17,4.1,Cannon Cliff ,Trad
106033069,Nevada,22.0,0.0,9,5.0,Red Rock,Trad
105734762,California,22.0,1.0,7,2.6,San Francisco Bay Area,Sport
107595148,Washington,14.5,0.0,12,2.5,Southwest Cascades,Trad
105752098,Wyoming,13.0,0.0,19,3.5,Vedauwoo,Trad
107610795,Idaho,20.0,0.0,15,3.8,Black Cliffs,Sport
105975347,Colorado,22.5,0.0,35,3.1,Boulder,Sport
106232722,Wyoming,23.0,0.0,18,4.2,Ten Sleep Canyon,Sport
106799818,Washington,13.0,0.0,6,3.0,Southeast Cascades & Yakima,Trad
107256764,International,20.0,0.0,8,3.8,North America,Trad
105860693,Kentucky,16.0,0.0,130,3.3,Red River Gorge,Sport
106538027,Nevada,14.5,0.0,11,3.6,Red Rock,Trad
105829266,New York,17.5,0.0,66,3.9,The Gunks,Trad
106003201,Wyoming,17.5,0.0,78,3.9,Grand Teton National Park,Trad
105764826,Colorado,19.0,-2.0,9,2.9,Boulder,Sport
105714881,South Dakota,14.5,0.0,16,2.8,Spearfish Canyon,Sport
105967430,International,16.5,0.5,6,4.2,Europe,Trad
106058997,New Hampshire,14.5,0.0,79,2.7,Rumney,Sport
105874659,Oregon,28.0,0.5,14,4.1,Mt. Hood,Sport
106692731,Colorado,33.0,0.0,5,4.0,Canon City,Sport
107325991,International,22.0,1.0,8,3.1,Asia,Sport
106543023,Wyoming,22.0,0.0,49,4.0,Lander Area,Sport
106686067,California,19.0,-0.5,16,3.2,San Francisco Bay Area,Sport
106690556,Colorado,20.0,0.0,16,3.0,Canon City,Sport
107323756,Nevada,16.0,0.0,8,2.6,Red Rock,Trad
106565001,Colorado,20.0,0.0,41,3.1,Boulder,Sport
105735395,California,17.5,-1.5,13,3.9,San Francisco Bay Area,Sport
105714803,South Dakota,7.5,-1.0,42,3.7,Custer State Park,Trad
105749578,Colorado,24.0,0.0,49,3.8,Boulder,Sport
107727923,Utah,26.0,-0.5,26,3.5,Maple Canyon,Sport
105878140,Oregon,31.5,0.5,7,4.7,Portland & The Gorge,Sport
105944079,Nevada,10.5,0.0,12,2.2,Red Rock,Trad
106874388,Oregon,20.5,0.0,7,2.9,Central Oregon,Trad
106090216,International,10.5,0.0,21,5.0,North America,Trad
105757447,Colorado,20.0,1.0,13,2.6,Boulder,Trad
106226347,Colorado,24.5,0.5,15,3.0,Boulder,Sport
108315001,Washington,17.5,0.0,6,3.8,Central-West Cascades & Seattle,Sport
105909672,New Hampshire,17.5,0.0,158,4.6,Cathedral Ledge,Trad
105740174,Utah,16.0,0.0,5,3.0,Wasatch Range,Sport
105922841,New Hampshire,16.0,0.0,89,4.1,Cathedral Ledge,Trad
107842284,Utah,17.5,0.0,10,3.3,Maple Canyon,Sport
106211755,Utah,26.0,0.0,33,3.9,Maple Canyon,Sport
105748145,Colorado,16.0,0.0,62,3.8,Boulder,Trad
105821011,Oregon,14.5,0.0,11,3.5,Willamette Valley,Sport
106429971,Colorado,27.0,0.0,25,4.0,Rifle,Sport
105819657,Wyoming,28.0,1.0,7,4.1,Ten Sleep Canyon,Sport
105723643,California,15.5,0.0,64,3.4,Joshua Tree National Park,Trad
105761358,Colorado,30.0,0.0,22,3.7,Boulder,Sport
105749989,Colorado,22.5,-0.5,12,2.4,Canon City,Sport
105879977,Colorado,18.0,0.0,7,3.1,Boulder,Trad
106276838,Utah,22.5,0.0,6,3.3,Wasatch Range,Sport
105876674,California,17.5,0.0,5,3.8,Yosemite National Park,Trad
106618148,Utah,13.0,-1.5,55,3.1,Moab Area,Sport
107074943,New York,16.0,0.0,34,2.9,The Gunks,Trad
106937642,Kentucky,20.5,0.0,24,3.5,Red River Gorge,Sport
105714773,South Dakota,13.0,0.0,11,3.9,Custer State Park,Trad
105748029,Colorado,27.0,0.0,33,3.9,Boulder,Sport
105860641,California,18.0,-1.0,121,4.5,Yosemite National Park,Trad
106437414,New York,13.0,-1.5,25,3.2,The Gunks,Trad
105752569,Colorado,20.5,0.0,41,2.8,Boulder,Trad
107743283,Wyoming,17.0,0.0,24,4.1,Ten Sleep Canyon,Sport
105877455,South Dakota,26.0,0.0,18,4.8,Spearfish Canyon,Sport
107111306,Montana,16.0,0.0,7,3.4,Rattler Gulch,Sport
106293859,California,25.0,0.0,19,3.6,Yosemite National Park,Sport
105975139,California,10.5,0.0,10,2.3,Joshua Tree National Park,Trad
106711001,New York,16.0,0.0,5,3.4,The Gunks,Trad
105795777,Washington,19.5,0.0,45,3.8,Central-West Cascades & Seattle,Trad
105925326,International,21.0,0.0,25,4.4,Asia,Sport
105872888,California,24.0,0.0,50,4.8,Yosemite National Park,Trad
106245532,South Dakota,17.5,0.0,11,2.9,Mount Rushmore National Memorial,Sport
105741176,Utah,19.0,0.0,48,3.4,Wasatch Range,Sport
107196753,South Dakota,26.0,0.0,17,4.7,Spearfish Canyon,Sport
105740486,Utah,18.0,0.5,22,2.8,Wasatch Range,Trad
106324468,Kentucky,19.0,0.0,12,2.9,Red River Gorge,Sport
105752077,Colorado,26.5,0.0,9,2.4,Boulder,Sport
105917977,Kentucky,22.0,0.0,36,3.9,Red River Gorge,Sport
105805984,Washington,16.0,0.0,18,3.7,Central-West Cascades & Seattle,Trad
106563428,Utah,19.0,0.0,9,4.2,Wasatch Range,Sport
106821267,International,16.0,0.0,8,3.1,North America,Trad
106054444,Washington,22.0,0.0,45,4.6,Central-West Cascades & Seattle,Trad
106076330,International,14.5,0.0,17,3.5,North America,Trad
106679389,California,16.0,0.0,8,3.9,Yosemite National Park,Sport
105715682,South Dakota,20.0,0.0,9,4.0,Mount Rushmore National Memorial,Trad
105799049,New York,20.0,0.0,74,3.7,The Gunks,Trad
106129728,California,15.5,0.0,14,3.4,Joshua Tree National Park,Trad
105914186,International,22.0,1.0,19,4.1,North America,Sport
106880494,International,10.5,0.0,13,2.8,North America,Trad
105853405,Wyoming,20.0,0.0,9,2.9,Ten Sleep Canyon,Sport
106617601,California,21.0,0.0,17,4.0,Yosemite National Park,Trad
107242349,Washington,17.5,0.0,7,2.3,Southwest Cascades,Trad
107381697,Idaho,22.5,0.0,10,4.3,Black Cliffs,Sport
105816764,Idaho,19.0,0.0,17,3.9,City of Rocks,Trad
105869766,Wyoming,16.0,0.0,66,4.1,Lander Area,Sport
106553547,Wyoming,22.5,0.0,15,4.0,Ten Sleep Canyon,Sport
105751252,Colorado,20.0,0.0,13,2.9,Boulder,Trad
105851891,Nevada,20.0,0.5,6,3.7,Rainbow Canyon,Trad
107225122,Washington,13.0,0.0,21,3.3,Central-East Cascades,Trad
105962938,Wyoming,17.0,0.0,10,3.7,Fremont Canyon,Sport
105764007,Colorado,28.0,1.0,15,3.3,Boulder,Sport
106397749,New Hampshire,8.5,0.0,12,2.3,Rumney,Trad
105732665,Nevada,23.0,0.0,6,3.2,Red Rock,Trad
105920932,Nevada,24.5,0.0,9,4.2,Red Rock,Trad
106035181,Maine,17.5,0.0,55,4.1,Acadia National Park,Trad
107298937,Maine,16.0,0.0,5,3.6,Shell Pond,Sport
106463231,International,18.0,0.0,15,4.1,North America,Trad
106207758,New Hampshire,17.5,0.0,7,4.3,Pawtuckaway,Trad
105793821,Washington,16.5,0.0,94,4.1,Central-West Cascades & Seattle,Trad
106575856,Kentucky,23.5,0.5,24,3.9,Red River Gorge,Sport
105748511,Colorado,13.0,0.0,29,4.0,Boulder,Trad
106723819,Kentucky,15.0,-2.0,18,2.9,Red River Gorge,Trad
108212308,South Dakota,22.5,0.0,5,3.6,Spearfish Canyon,Sport
107550548,Montana,16.0,0.0,6,3.7,Revenue Flats,Trad
105732812,Nevada,20.0,0.0,24,3.9,Red Rock,Trad
105811303,New York,14.5,-1.0,18,3.4,The Gunks,Trad
107177226,Colorado,30.5,0.5,44,4.9,Boulder,Sport
106674820,Oregon,26.0,0.0,27,4.5,Central Oregon,Sport
108256706,California,19.0,0.0,7,3.9,Yosemite National Park,Trad
